Inches,Price_euros,Ram (GB),Weight (kg),HDD (GB),SSD (GB),Hybrid (GB),Flash Storage (GB),Total_Storage (GB),Screen_Width,Screen_Height,Touchscreen,Cpu_Speed_GHz,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,OpSys_Clean_Chrome OS,OpSys_Clean_Linux,OpSys_Clean_MacOS,OpSys_Clean_No OS,OpSys_Clean_Windows,Cpu_Brand_Intel,Cpu_Brand_Samsung,Gpu_Brand_ARM,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Cpu_Name_TE,Gpu_Name_TE,PPI,Is_High_RAM,Is_SSD,Cpu_Performance_Class_Num,Gpu_Performance_Class_Num,Gpu_Dedicated
10.1,319.0,4,0.69,0.0,0.0,0.0,64.0,64.0,1920,1200,1,1.44,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,498.3175,316.1018918918919,224.17380907857276,0,0,0,0,0
15.6,841.0,8,2.2,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,1206.54,988.9233333333334,141.21199808219862,0,1,1,0,1
15.6,398.49,4,1.86,0.0,256.0,0.0,0.0,256.0,1920,1080,0,2.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,403.81125,384.278,141.21199808219862,0,1,1,0,1
13.3,1103.0,8,1.49,0.0,512.0,0.0,0.0,512.0,1920,1080,0,1.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,1206.54,1205.7682352941176,165.6321180513006,0,1,1,1,0
15.6,384.0,4,2.4,1024.0,0.0,0.0,0.0,1024.0,1366,768,0,2.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,592.0154054054054,1141.0898226950355,100.45466986113651,0,0,1,0,0
15.6,767.8,8,2.13,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1206.54,606.0823529411764,141.21199808219862,0,1,1,0,1
15.6,439.0,4,1.91,0.0,128.0,0.0,0.0,128.0,1920,1080,0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,492.6088888888889,1051.0203783783784,141.21199808219862,0,1,1,0,0
15.6,586.19,4,2.0,0.0,256.0,0.0,0.0,256.0,1366,768,0,2.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,919.3180829015544,1141.0898226950355,100.45466986113651,0,1,1,0,0
17.3,2449.0,16,2.43,2048.0,256.0,0.0,0.0,2304.0,1920,1080,0,2.8,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,1762.351224489796,2611.805333333333,127.33567457123111,1,1,1,2,1
15.6,415.0,4,2.0,0.0,256.0,0.0,0.0,256.0,1920,1080,0,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,492.6088888888889,1051.0203783783784,141.21199808219862,0,1,1,0,0
17.3,1299.0,16,2.8,2048.0,256.0,0.0,0.0,2304.0,1920,1080,0,1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1206.54,864.4795121951221,127.33567457123111,1,1,1,0,1
14.0,879.0,8,1.7,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,944.0380555555556,1205.7682352941176,157.3505121487356,0,1,0,1,0
14.0,599.0,8,1.7,0.0,256.0,0.0,0.0,256.0,1920,1080,0,2.7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,581.75,1141.0898226950355,157.3505121487356,0,1,1,0,0
14.0,941.0,8,1.4,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,944.0380555555556,1205.7682352941176,157.3505121487356,0,1,0,1,0
15.6,690.0,8,1.86,0.0,256.0,0.0,0.0,256.0,1920,1080,0,2.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,919.3180829015544,1141.0898226950355,141.21199808219862,0,1,1,0,0
15.6,1983.0,16,1.8,0.0,512.0,0.0,0.0,512.0,1920,1080,0,2.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,1762.351224489796,1364.6457142857143,141.21199808219862,1,1,1,1,1
15.6,438.69,4,1.86,500.0,0.0,0.0,0.0,500.0,1366,768,0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,492.6088888888889,606.0823529411764,100.45466986113651,0,0,1,0,1
14.0,229.0,4,1.44,0.0,32.0,0.0,0.0,32.0,1366,768,0,1.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,299.4379310344828,316.1018918918919,111.93520355955211,0,1,0,0,0
15.6,549.0,4,1.9,1024.0,0.0,0.0,0.0,1024.0,1920,1080,0,2.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,919.3180829015544,1141.0898226950355,141.21199808219862,0,0,1,0,0
17.3,949.0,12,3.0,1024.0,0.0,0.0,0.0,1024.0,1920,1080,0,2.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1762.351224489796,1364.6457142857143,127.33567457123111,0,0,1,1,1
13.5,1089.0,4,1.252,0.0,128.0,0.0,0.0,128.0,2256,1504,1,2.5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,919.3180829015544,1141.0898226950355,200.84255993695703,0,1,1,0,0
13.3,955.0,8,1.4,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,1206.54,864.4795121951221,165.6321180513006,0,1,1,0,1
15.6,870.0,8,2.2,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1206.54,864.4795121951221,141.21199808219862,0,1,1,0,1
17.3,1095.0,8,2.7,1024.0,128.0,0.0,0.0,1152.0,1920,1080,0,2.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,1093.729393939394,1204.2248484848485,127.33567457123111,0,1,1,1,1
14.0,389.0,8,2.1,1024.0,0.0,0.0,0.0,1024.0,1366,768,0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,492.6088888888889,1051.0203783783784,111.93520355955211,0,0,1,0,0
15.6,949.0,8,2.2,1024.0,0.0,0.0,0.0,1024.0,1920,1080,0,2.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,1762.351224489796,1204.2248484848485,141.21199808219862,0,0,1,1,1
15.6,519.0,8,2.2,2048.0,0.0,0.0,0.0,2048.0,1920,1080,0,2.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,919.3180829015544,1141.0898226950355,141.21199808219862,0,0,1,0,0
15.6,855.0,8,2.02,1024.0,128.0,0.0,0.0,1152.0,1920,1080,0,1.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,1206.54,1205.7682352941176,141.21199808219862,0,1,1,1,0
15.6,530.0,4,2.2,1024.0,0.0,0.0,0.0,1024.0,1920,1080,0,2.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,581.75,649.665,141.21199808219862,0,0,1,0,1
17.3,977.0,8,2.5,1024.0,128.0,0.0,0.0,1152.0,1920,1080,0,1.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,944.0380555555556,1047.3028,127.33567457123111,0,1,0,0,1
15.6,1096.16,8,1.88,0.0,256.0,0.0,0.0,256.0,1920,1080,0,1.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,944.0380555555556,1205.7682352941176,141.21199808219862,0,1,0,1,0
12.0,1510.0,8,0.92,0.0,512.0,0.0,0.0,512.0,2304,1440,0,1.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,1391.9483333333335,1486.321428571429,226.41554716935852,0,1,1,1,0
